able-Agnes,0
able-Junior,0
able-Vicki,0
able-Alex,0
able-Kathy,0
able-Victoria,0
able-Bruce,0
able-Princess,0
able-Fred,0
able-Ralph,0
act-Agnes,1
act-Junior,1
act-Vicki,1
act-Alex,1
act-Kathy,1
act-Victoria,1
act-Bruce,1
act-Princess,1
act-Fred,1
act-Ralph,1
acted-Agnes,2
acted-Junior,2
acted-Vicki,2
acted-Alex,2
acted-Kathy,2
acted-Victoria,2
acted-Bruce,2
acted-Princess,2
acted-Fred,2
acted-Ralph,2
acting-Agnes,3
acting-Junior,3
acting-Vicki,3
acting-Alex,3
acting-Kathy,3
acting-Victoria,3
acting-Bruce,3
acting-Princess,3
acting-Fred,3
acting-Ralph,3
action-Agnes,4
action-Junior,4
action-Vicki,4
action-Alex,4
action-Kathy,4
action-Victoria,4
action-Bruce,4
action-Princess,4
action-Fred,4
action-Ralph,4
active-Agnes,5
active-Junior,5
active-Vicki,5
active-Alex,5
active-Kathy,5
active-Victoria,5
active-Bruce,5
active-Princess,5
active-Fred,5
active-Ralph,5
actively-Agnes,6
actively-Junior,6
actively-Vicki,6
actively-Alex,6
actively-Kathy,6
actively-Victoria,6
actively-Bruce,6
actively-Princess,6
actively-Fred,6
actively-Ralph,6
actor-Agnes,7
actor-Junior,7
actor-Vicki,7
actor-Alex,7
actor-Kathy,7
actor-Victoria,7
actor-Bruce,7
actor-Princess,7
actor-Fred,7
actor-Ralph,7
actors-Agnes,8
actors-Junior,8
actors-Vicki,8
actors-Alex,8
actors-Kathy,8
actors-Victoria,8
actors-Bruce,8
actors-Princess,8
actors-Fred,8
actors-Ralph,8
acts-Agnes,9
acts-Junior,9
acts-Vicki,9
acts-Alex,9
acts-Kathy,9
acts-Victoria,9
acts-Bruce,9
acts-Princess,9
acts-Fred,9
acts-Ralph,9
actual-Agnes,10
actual-Junior,10
actual-Vicki,10
actual-Alex,10
actual-Kathy,10
actual-Victoria,10
actual-Bruce,10
actual-Princess,10
actual-Fred,10
actual-Ralph,10
actually-Agnes,11
actually-Junior,11
actually-Vicki,11
actually-Alex,11
actually-Kathy,11
actually-Victoria,11
actually-Bruce,11
actually-Princess,11
actually-Fred,11
actually-Ralph,11
add-Agnes,12
add-Junior,12
add-Vicki,12
add-Alex,12
add-Kathy,12
add-Victoria,12
add-Bruce,12
add-Princess,12
add-Fred,12
add-Ralph,12
added-Agnes,13
added-Junior,13
added-Vicki,13
added-Alex,13
added-Kathy,13
added-Victoria,13
added-Bruce,13
